Item,Week,Price,Sales,Remaining Inventory,,,,,
1,1 ,60 ,57 ,1943 ,,,,,
1,2 ,60 ,98 ,1845 ,,,,,
1,3 ,60 ,55 ,1790 ,,,,,
1,4 ,60 ,41 ,1749 ,,,,,
1,5 ,60 ,60 ,1689 ,,,,,
1,6 ,60 ,39 ,1650 ,,,,,
1,7 ,54 ,106 ,1544 ,,,,,
1,8 ,54 ,55 ,1489 ,,,,,
1,9 ,54 ,64 ,1425 ,,,,,
1,10 ,54 ,43 ,1382 ,,,,,
1,11 ,54 ,131 ,1251 ,,,,,
1,12 ,54 ,112 ,1139 ,,,,,
1,13 ,54 ,62 ,1077 ,,,,,
1,14 ,54 ,31 ,1046 ,,,,,
1,15 ,54 ,80 ,966 ,,,,,
2,1 ,60 ,115 ,1885 ,,,,,
2,2 ,60 ,105 ,1780 ,,,,,
2,3 ,60 ,136 ,1644 ,,,,,
2,4 ,60 ,115 ,1529 ,,,,,
2,5 ,60 ,73 ,1456 ,,,,,
2,6 ,60 ,102 ,1354 ,,,,,
2,7 ,54 ,58 ,1296 ,,,,,
2,8 ,54 ,187 ,1109 ,,,,,
2,9 ,54 ,198 ,911 ,,,,,
2,10 ,54 ,196 ,715 ,,,,,
2,11 ,54 ,132 ,583 ,,,,,
2,12 ,54 ,60 ,523 ,,,,,
2,13 ,54 ,119 ,404 ,,,,,
2,14 ,54 ,131 ,273 ,,,,,
2,15 ,54 ,215 ,58 ,,,,,
3,1 ,60 ,75 ,1925 ,,,,,
3,2 ,60 ,82 ,1843 ,,,,,
3,3 ,60 ,63 ,1780 ,,,,,
3,4 ,60 ,53 ,1727 ,,,,,
3,5 ,60 ,63 ,1664 ,,,,,
3,6 ,60 ,20 ,1644 ,,,,,
3,7 ,54 ,57 ,1587 ,,,,,
3,8 ,54 ,118 ,1469 ,,,,,
3,9 ,54 ,90 ,1379 ,,,,,
3,10 ,54 ,51 ,1328 ,,,,,
3,11 ,54 ,126 ,1202 ,,,,,
3,12 ,54 ,73 ,1129 ,,,,,
3,13 ,54 ,88 ,1041 ,,,,,
3,14 ,54 ,64 ,977 ,,,,,
3,15 ,54 ,74 ,903 ,,,,,
4,1 ,60 ,47 ,1953 ,,,,,
4,2 ,60 ,50 ,1903 ,,,,,
4,3 ,60 ,51 ,1852 ,,,,,
4,4 ,60 ,93 ,1759 ,,,,,
4,5 ,60 ,53 ,1706 ,,,,,
4,6 ,60 ,73 ,1633 ,,,,,
4,7 ,54 ,62 ,1571 ,,,,,
4,8 ,54 ,56 ,1515 ,,,,,
4,9 ,54 ,62 ,1453 ,,,,,
4,10 ,54 ,64 ,1389 ,,,,,
4,11 ,54 ,85 ,1304 ,,,,,
4,12 ,54 ,89 ,1215 ,,,,,
4,13 ,54 ,76 ,1139 ,,,,,
4,14 ,54 ,94 ,1045 ,,,,,
4,15 ,54 ,113 ,932 ,,,,,
5,1 ,60 ,88 ,1912 ,,,,,
5,2 ,60 ,98 ,1814 ,,,,,
5,3 ,60 ,99 ,1715 ,,,,,
5,4 ,60 ,83 ,1632 ,,,,,
5,5 ,60 ,106 ,1526 ,,,,,
5,6 ,60 ,81 ,1445 ,,,,,
5,7 ,54 ,138 ,1307 ,,,,,
5,8 ,54 ,95 ,1212 ,,,,,
5,9 ,54 ,140 ,1072 ,,,,,
5,10 ,54 ,128 ,944 ,,,,,
5,11 ,54 ,117 ,827 ,,,,,
5,12 ,54 ,161 ,666 ,,,,,
5,13 ,54 ,94 ,572 ,,,,,
5,14 ,54 ,52 ,520 ,,,,,
5,15 ,54 ,98 ,422 ,,,,,
6,1 ,60 ,94 ,1906 ,,,,,
6,2 ,60 ,85 ,1821 ,,,,,
6,3 ,60 ,170 ,1651 ,,,,,
6,4 ,60 ,155 ,1496 ,,,,,
6,5 ,60 ,126 ,1370 ,,,,,
6,6 ,60 ,64 ,1306 ,,,,,
6,7 ,60 ,105 ,1201 ,,,,,
6,8 ,48 ,229 ,972 ,,,,,
6,9 ,48 ,253 ,719 ,,,,,
6,10 ,48 ,179 ,540 ,,,,,
6,11 ,48 ,163 ,377 ,,,,,
6,12 ,48 ,223 ,154 ,,,,,
6,13 ,48 ,154 ,0 ,,,,,
6,14 ,48 ,0 ,0 ,,,,,
6,15 ,48 ,0 ,0 ,,,,,
7,1 ,60 ,48 ,1952 ,,,,,
7,2 ,60 ,74 ,1878 ,,,,,
7,3 ,60 ,81 ,1797 ,,,,,
7,4 ,60 ,82 ,1715 ,,,,,
7,5 ,60 ,79 ,1636 ,,,,,
7,6 ,60 ,43 ,1593 ,,,,,
7,7 ,60 ,65 ,1528 ,,,,,
7,8 ,48 ,92 ,1436 ,,,,,
7,9 ,48 ,124 ,1312 ,,,,,
7,10 ,48 ,92 ,1220 ,,,,,
7,11 ,48 ,142 ,1078 ,,,,,
7,12 ,48 ,91 ,987 ,,,,,
7,13 ,48 ,146 ,841 ,,,,,
7,14 ,48 ,110 ,731 ,,,,,
7,15 ,48 ,160 ,571 ,,,,,
8,1 ,60 ,67 ,1933 ,,,,,
8,2 ,60 ,32 ,1901 ,,,,,
8,3 ,60 ,65 ,1836 ,,,,,
8,4 ,60 ,51 ,1785 ,,,,,
8,5 ,60 ,45 ,1740 ,,,,,
8,6 ,60 ,54 ,1686 ,,,,,
8,7 ,60 ,57 ,1629 ,,,,,
8,8 ,48 ,124 ,1505 ,,,,,
8,9 ,48 ,64 ,1441 ,,,,,
8,10 ,48 ,101 ,1340 ,,,,,
8,11 ,48 ,116 ,1224 ,,,,,
8,12 ,48 ,79 ,1145 ,,,,,
8,13 ,48 ,106 ,1039 ,,,,,
8,14 ,48 ,84 ,955 ,,,,,
8,15 ,48 ,100 ,855 ,,,,,
9,1 ,60 ,93 ,1907 ,,,,,
9,2 ,60 ,84 ,1823 ,,,,,
9,3 ,60 ,52 ,1771 ,,,,,
9,4 ,60 ,60 ,1711 ,,,,,
9,5 ,60 ,81 ,1630 ,,,,,
9,6 ,60 ,74 ,1556 ,,,,,
9,7 ,60 ,72 ,1484 ,,,,,
9,8 ,48 ,118 ,1366 ,,,,,
9,9 ,48 ,136 ,1230 ,,,,,
9,10 ,48 ,145 ,1085 ,,,,,
9,11 ,48 ,148 ,937 ,,,,,
9,12 ,48 ,182 ,755 ,,,,,
9,13 ,48 ,100 ,655 ,,,,,
9,14 ,48 ,93 ,562 ,,,,,
9,15 ,48 ,133 ,429 ,,,,,
10,1 ,60 ,65 ,1935 ,,,,,
10,2 ,60 ,82 ,1853 ,,,,,
10,3 ,60 ,33 ,1820 ,,,,,
10,4 ,60 ,81 ,1739 ,,,,,
10,5 ,60 ,83 ,1656 ,,,,,
10,6 ,60 ,48 ,1608 ,,,,,
10,7 ,60 ,79 ,1529 ,,,,,
10,8 ,48 ,120 ,1409 ,,,,,
10,9 ,48 ,115 ,1294 ,,,,,
10,10 ,48 ,57 ,1237 ,,,,,
10,11 ,48 ,95 ,1142 ,,,,,
10,12 ,48 ,82 ,1060 ,,,,,
10,13 ,48 ,168 ,892 ,,,,,
10,14 ,48 ,33 ,859 ,,,,,
10,15 ,48 ,107 ,752 ,,,,,
11,1 ,60 ,40 ,1960 ,,,,,
11,2 ,60 ,74 ,1886 ,,,,,
11,3 ,60 ,129 ,1757 ,,,,,
11,4 ,60 ,102 ,1655 ,,,,,
11,5 ,60 ,105 ,1550 ,,,,,
11,6 ,60 ,96 ,1454 ,,,,,
11,7 ,60 ,186 ,1268 ,,,,,
11,8 ,60 ,17 ,1251 ,,,,,
11,9 ,60 ,155 ,1096 ,,,,,
11,10 ,36 ,413 ,683 ,,,,,
11,11 ,36 ,141 ,542 ,,,,,
11,12 ,36 ,316 ,226 ,,,,,
11,13 ,36 ,187 ,39 ,,,,,
11,14 ,36 ,39 ,0 ,,,,,
11,15 ,36 ,0 ,0 ,,,,,
12,1 ,60 ,58 ,1942 ,,,,,
12,2 ,60 ,65 ,1877 ,,,,,
12,3 ,60 ,77 ,1800 ,,,,,
12,4 ,60 ,59 ,1741 ,,,,,
12,5 ,60 ,64 ,1677 ,,,,,
12,6 ,60 ,74 ,1603 ,,,,,
12,7 ,60 ,82 ,1521 ,,,,,
12,8 ,60 ,63 ,1458 ,,,,,
12,9 ,60 ,35 ,1423 ,,,,,
12,10 ,36 ,267 ,1156 ,,,,,
12,11 ,36 ,257 ,899 ,,,,,
12,12 ,36 ,213 ,686 ,,,,,
12,13 ,36 ,135 ,551 ,,,,,
12,14 ,36 ,74 ,477 ,,,,,
12,15 ,36 ,185 ,292 ,,,,,
13,1 ,60 ,44 ,1956 ,,,,,
13,2 ,60 ,69 ,1887 ,,,,,
13,3 ,60 ,31 ,1856 ,,,,,
13,4 ,60 ,69 ,1787 ,,,,,
13,5 ,60 ,69 ,1718 ,,,,,
13,6 ,60 ,111 ,1607 ,,,,,
13,7 ,60 ,58 ,1549 ,,,,,
13,8 ,60 ,78 ,1471 ,,,,,
13,9 ,60 ,61 ,1410 ,,,,,
13,10 ,36 ,175 ,1235 ,,,,,
13,11 ,36 ,120 ,1115 ,,,,,
13,12 ,36 ,247 ,868 ,,,,,
13,13 ,36 ,168 ,700 ,,,,,
13,14 ,36 ,209 ,491 ,,,,,
13,15 ,36 ,261 ,230 ,,,,,
14,1 ,60 ,74 ,1926 ,,,,,
14,2 ,60 ,69 ,1857 ,,,,,
14,3 ,60 ,98 ,1759 ,,,,,
14,4 ,60 ,51 ,1708 ,,,,,
14,5 ,60 ,66 ,1642 ,,,,,
14,6 ,60 ,70 ,1572 ,,,,,
14,7 ,60 ,34 ,1538 ,,,,,
14,8 ,60 ,45 ,1493 ,,,,,
14,9 ,60 ,46 ,1447 ,,,,,
14,10 ,36 ,82 ,1365 ,,,,,
14,11 ,36 ,157 ,1208 ,,,,,
14,12 ,36 ,219 ,989 ,,,,,
14,13 ,36 ,261 ,728 ,,,,,
14,14 ,36 ,89 ,639 ,,,,,
14,15 ,36 ,176 ,463 ,,,,,
15,1 ,60 ,80 ,1920 ,,,,,
15,2 ,60 ,45 ,1875 ,,,,,
15,3 ,60 ,39 ,1836 ,,,,,
15,4 ,60 ,97 ,1739 ,,,,,
15,5 ,60 ,60 ,1679 ,,,,,
15,6 ,60 ,49 ,1630 ,,,,,
15,7 ,60 ,77 ,1553 ,,,,,
15,8 ,60 ,70 ,1483 ,,,,,
15,9 ,60 ,44 ,1439 ,,,,,
15,10 ,36 ,181 ,1258 ,,,,,
15,11 ,36 ,116 ,1142 ,,,,,
15,12 ,36 ,152 ,990 ,,,,,
15,13 ,36 ,188 ,802 ,,,,,
15,14 ,36 ,244 ,558 ,,,,,
15,15 ,36 ,169 ,389 ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,